num_lectures,price,days_since_published,content_duration
19,200,1301,1.5
13,20,2298,2.0
114,110,1548,6.0
11,50,1273,1.0
40,200,1885,5.5
65,200,1444,4.5
9,20,1735,1.5
27,175,1425,2.5
26,125,2066,1.5
13,0,1201,0.5166666666666666
34,110,1486,5.5
46,20,2381,5.0
12,200,1420,1.0
53,50,2388,2.5
35,200,1464,1.5
19,50,2392,2.0
11,0,1254,1.5
24,0,2368,3.5
11,20,1598,1.0
8,0,1670,0.7333333333333333
15,0,1679,1.0
10,200,1237,1.0
29,20,2171,3.0
19,0,1342,5.0
24,45,1930,5.5
52,20,1553,4.0
10,25,3078,2.0
48,60,1713,3.0
16,50,2086,2.5
16,25,1998,1.5
13,0,2104,1.0
9,195,1268,0.5
39,170,1670,6.5
17,50,1556,2.0
34,20,1329,1.0
34,30,1213,4.0
20,95,1203,2.0
145,0,1500,8.5
131,50,2170,8.0
18,45,1889,1.0
16,40,2450,4.0
395,180,2022,33.0
10,45,1825,1.5
44,200,2097,4.0
15,20,1393,1.5
70,40,1577,5.0
25,95,1665,1.5
7,35,1472,0.55
17,20,1794,2.0
14,40,1658,1.5
12,20,2232,3.0
13,25,2064,1.0
9,20,1301,1.0
19,0,2004,3.0
12,200,1300,0.6
5,0,2044,1.0
70,50,1210,10.5
90,55,2274,2.5
19,85,1356,2.5
44,50,2198,5.5
70,95,1843,13.5
239,95,1564,25.5
11,20,1604,1.0
32,55,1684,6.0
61,95,1504,2.5
23,70,1325,2.5
12,35,1698,1.0
15,25,2518,1.5
106,50,2002,6.5
82,150,1562,8.0
82,50,1532,4.0
19,20,1426,2.5
59,20,2391,8.0
13,20,1604,1.0
11,25,1499,1.5
17,20,2334,1.5
103,175,1881,13.0
27,0,1505,2.0
10,0,2044,0.5333333333333333
20,0,2090,1.5
16,200,1961,2.5
58,55,2042,4.5
32,40,1476,5.0
16,20,2453,1.0
12,20,2565,2.0
11,20,2167,0.6166666666666667
77,75,1624,6.0
32,95,1228,1.5
27,50,2050,5.0
46,30,1692,9.0
9,20,2367,0.6166666666666667
31,20,1676,1.5
30,200,1459,3.0
16,50,1708,1.0
8,35,1882,0.6166666666666667
17,50,2633,8.0
113,85,1259,18.5
30,70,1799,1.0
63,75,1945,3.5
13,20,1884,0.7
25,50,1594,2.5
33,20,2406,70.0
60,50,1507,7.0
22,70,1808,5.0
33,75,2456,4.5
38,30,2420,12.0
27,30,1605,2.0
6,60,2776,1.0
93,170,1440,4.5
64,20,2127,7.0
36,120,1826,4.0
14,95,1857,1.0
34,20,1969,6.5
9,25,1787,1.0
36,60,1751,2.0
16,20,1756,2.0
62,50,1434,1.5
15,50,2409,2.5
14,20,1955,2.0
27,40,1912,3.5
71,120,1518,14.0
11,200,1864,2.0
202,100,1287,16.0
78,100,1422,6.5
8,45,1798,1.0
8,50,1202,1.5
23,30,1972,3.0
16,30,1822,1.5
25,20,1633,4.0
8,25,1402,1.5
18,0,1272,1.0
50,195,1595,6.0
13,20,2277,1.5
55,175,2205,7.0
11,0,1997,0.7333333333333333
23,20,1531,1.5
94,200,1232,17.5
6,20,2507,2.0
22,20,2502,1.5
26,20,1484,3.0
48,50,1840,3.0
119,140,1670,12.0
23,20,1652,1.0
46,190,1232,5.0
22,0,1728,2.0
46,30,2645,11.5
321,50,1380,3.5
17,150,1653,1.5
53,200,1268,6.5
34,95,1637,3.0
69,0,1274,9.0
26,200,1415,2.0
23,20,3067,3.0
11,25,1232,0.65
61,50,1643,8.0
62,150,1619,12.5
40,125,2505,12.5
35,0,2636,2.5
21,20,1724,1.0
42,50,1439,1.0
30,40,1257,2.0
22,20,2045,2.5
44,30,1868,10.5
14,0,2359,1.5
23,40,1672,2.5
19,20,2637,1.0
15,100,1685,2.0
18,195,1422,1.0
24,20,1598,2.0
16,20,1806,1.5
18,0,1692,2.0
5,30,1627,1.0
48,175,1266,7.0
63,100,1758,11.0
12,25,2025,0.6666666666666666
23,35,1696,3.0
110,25,1790,7.5
24,25,1594,2.0
115,65,1344,9.5
13,20,1500,1.5
15,30,1342,2.0
20,20,2119,1.0
37,95,1763,3.0
8,35,1469,1.0
13,20,1713,0.5333333333333333
178,195,1391,13.0
39,80,1806,3.0
68,150,1881,5.5
37,40,1891,3.5
14,30,1335,2.5
30,70,1699,4.0
35,100,1676,3.5
122,0,1695,21.0
11,20,1904,1.0
87,65,1196,5.0
32,20,2898,5.0
30,0,1819,1.5
129,0,2126,20.5
54,200,1429,4.0
17,0,2146,1.5
30,20,1321,2.0
14,40,1626,1.0
112,20,1436,13.5
9,25,1650,2.0
41,40,1637,6.0
17,20,1851,1.0
12,20,2452,1.5
56,195,1626,7.0
33,40,1519,2.5
17,20,1892,1.5
125,200,1342,14.0
51,0,1524,2.0
18,20,1539,1.0
13,180,1548,3.0
7,35,1624,0.6166666666666667
9,0,1213,1.0
11,25,1682,0.6833333333333333
8,100,1388,1.0
21,35,2381,2.5
19,200,1223,1.0
44,150,1662,7.5
30,20,1686,9.5
12,55,1373,1.0
18,20,1486,0.7166666666666667
36,20,1793,4.0
11,65,1804,1.0
60,95,1818,3.5
27,50,1912,3.5
13,0,1743,3.0
329,190,1429,18.0
34,185,1420,8.0
10,30,1616,2.0
12,25,1702,1.5
8,20,1639,1.0
172,200,1228,11.0
6,0,2613,1.0
16,20,2102,1.0
41,20,1702,4.0
55,40,1879,4.5
16,35,1983,1.0
23,20,1550,2.5
18,200,1864,2.0
32,20,1709,6.0
29,200,1672,3.0
17,20,1616,1.5
33,200,2386,5.5
25,200,2164,2.0
309,50,2169,38.0
27,20,1856,2.5
39,20,1589,3.0
17,50,2345,3.0
42,50,1643,6.5
22,200,1790,2.0
27,190,1799,2.5
35,20,2080,2.5
18,30,1827,1.5
20,85,1366,1.0
40,25,2324,3.0
16,60,2773,2.0
7,25,2140,1.5
9,20,2458,2.5
29,20,1280,7.0
27,50,2402,4.5
24,0,1234,2.5
86,35,2187,14.0
251,195,2739,45.0
29,75,1907,3.0
50,95,1639,4.0
6,60,1232,0.7166666666666667
35,95,1197,4.0
32,185,2057,3.0
6,20,1315,1.0
27,20,1756,1.0
46,20,1381,9.5
20,20,1690,2.0
29,45,1693,2.5
14,20,2548,1.0
21,50,2087,5.5
21,200,2039,2.0
11,35,1322,1.0
25,200,1696,3.0
40,40,2177,3.5
9,60,2770,1.0
11,0,1830,1.0
25,100,1304,6.5
11,40,1439,1.0
65,95,1791,2.5
21,20,1835,2.0
69,175,1223,9.5
24,40,1475,1.5
12,30,1718,1.0
13,95,1899,1.5
71,100,2163,3.5
95,75,1456,8.5
152,200,1494,5.5
49,40,2040,4.5
19,50,1805,2.0
11,20,1816,0.6333333333333333
138,190,1605,7.5
12,80,1304,0.7333333333333333
14,20,1841,3.0
29,95,1918,2.5
61,200,1294,9.5
92,105,1232,4.0
28,100,1852,2.5
16,75,1961,2.0
16,30,1638,3.0
14,30,1800,1.5
99,80,1808,2.0
7,0,1342,1.0
15,60,1489,1.5
12,0,1897,1.0
11,50,1192,2.0
49,200,1940,4.5
100,125,1775,20.5
16,95,1606,1.0
61,75,2055,6.0
16,20,1918,1.5
36,200,1844,2.5
12,40,1902,1.0
25,50,1903,2.0
12,60,1394,1.0
42,95,1939,5.0
16,75,1724,1.5
26,20,1882,3.0
30,20,1244,2.5
8,0,1911,1.0
20,0,2004,3.0
21,0,1228,3.0
87,40,1450,10.0
13,25,2161,1.5
60,20,1504,6.5
28,50,1471,3.0
56,200,1660,11.0
161,145,1225,14.0
98,50,1723,0.5166666666666666
24,95,2135,1.5
